NOVELA,AÑO,CANAL,PROTAGONISTAS,¿DE QUE SE TRATA LA NOVELA?,IMAGEN,LINK COLUMNA 1 ENTREGA,LINK COLUMNA 2 ENTREGA,LINK COLUMNA 3 ENTREGA,LINK COLUMNA 4 ENTREGA,LINK COLUMNA 5 ENTREGA,LINK COLUMNA,GUIONISTA,,
Perla negra,1994-1995,Telefe,Andrea del Boca,"Perla sobrevive a un accidente donde muere su mejor amiga y asume su identidad para criar al hijo de esta, enfrentando a la adinerada familia de su amiga y al hombre que las engañó. Temas que toca: Suplantación de identidad y secretos familiaresMaternidad, sacrificio y venganzaAmor, engaño y redención",https://drive.google.com/file/d/1VEBnc-fYP3E3a2IvYSQs2FLX3xsG7jrT/view?usp=share_link,,,,,,https://soundcloud.com/futurock/perla-negra-novelascafeymasitas-por-danila-saiegh-en-furiabebe,Enrique Torres,,
Nano,1995,Canal 13,"Gustavo Bermúdez, Araceli González","Nano es un hombre humilde y apasionado que trabaja en un acuario como adiestrador de delfines y ballenas. Su vida cambia al enamorarse de Camila, una joven sordomuda a quien él enseña a comunicarse, mientras descubre un oscuro secreto familiar que une trágicamente sus pasados. Temas que toca: Amor y superación frente a la discapacidadSecretos del pasado y dramas familiaresLa comunicación no verbal y la empatíaAmor por la naturaleza y los animales",https://drive.google.com/file/d/15SwmmBTv42Cr604XsxNWOWCH0HtHjjTg/view?usp=share_link,,,,,,https://soundcloud.com/futurock/cafe-novelas-y-masitas-nano-por-danilasaiegh,Enrique Torres,,
Poliladron,1995,Canal 13,"Adrián Suar, Laura Novoa, Horacio Ranieri","Gustavo ""Nene"" Carrizo, un estafador y ladrón de guante blanco seductor y simpático, se cruza en la vida de Verónica Vega, una rigurosa y dedicada oficial de policía. A pesar de estar en lados opuestos de la ley y enfrentarse constantemente por los delitos del ""Nene"", entre ellos surge una química e inevitable atracción que desafía la ética profesional y el código criminal. Temas que toca: La atracción irreprimible entre opuestos y el juego del gato y el ratón entre la ley y el delitoEl ladrón ""con códigos"", simpático y de guante blanco frente a la rigidez institucionalDoble vida, secretos y el dilema ético de enamorarse del enemigoLa amistad, la lealtad de banda/barrio y el pulso policial de los noventa",https://drive.google.com/file/d/1XAT4xcsGUTP2WBmUGG9b6_OInqoHxtY4/view?usp=share_link,https://www.youtube.com/watch?v=grlBM_DBhCY,https://www.youtube.com/watch?v=47dYkL-YKSA,https://www.youtube.com/watch?v=nsP6K3mkHMQ,,,,"Leonardo Bechini, Oscar Tabernise",,
La nena,1996,Canal 9,"Valeria Britos, Rodolfo Ranni","A pesada de su corta edad, la protagonista revoluciona su entorno familiar y escolar desafiando los roles tradicionales de género con sus ideas de igualdad y una forma particular de hablar que rompe el lenguaje de la época. Temas que toca: Feminismo temprano y rol de la mujer en los 90Lenguaje inclusivo y ruptura de modismos tradicionalesRebeldía juvenil e independenciaConflictos generacionales entre padres e hijos",https://drive.google.com/file/d/1uof7_enMuf46payfqx712mdZPN2N77TQ/view?usp=share_link,https://www.youtube.com/watch?v=_esvlvq2Ch8&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=128,https://www.youtube.com/watch?v=6sILaBKFRgs&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=127,,,,,Salvador (Pocho) Ottobre,,
Muñeca brava,1998,Telefe,"Natalia Oreiro, Facundo Arana","Milagros, una joven huérfana y rebelde que se crió en un convento, entra a trabajar como sirvienta en la mansión de la adinerada familia Di Carlo. Allí se enamora de Ivo, el hijo de la casa, mientras descubre los oscuros secretos de su propio origen e identidad. Temas que toca: Amor entre distintas clases socialesBúsqueda de identidad y secretos de origenRebeldía, empoderamiento e independencia femeninaConflictos familiares, prejuicios y engaños",https://drive.google.com/file/d/1a0rnjdvvwMncXnp8VTHtbTG-yhHOGhn6/view?usp=share_link,https://www.youtube.com/watch?v=Bpm3joxRjQo&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=153,,,,,,Enrique Torres,,
"Alas, poder y pasión ",1998,Canal 13,"Gustavo Bermúdez, Paola Krum, Rodolfo Ranni, Nacha Guevara, Gastón Pauls, María Vaner, Rubén Stella, Hilda Bernard","Magdalena, una destacada ejecutiva en el exigente universo de la aviación comercial, lucha por consolidar su carrera en un mundo dominado por hombres mientras se debate entre dos hombres opuestos: un ambicioso piloto y un poderoso empresario. La codicia, las luchas de poder por el control de la aerolínea y los celos profesionales ponen a prueba sus convicciones y sus sentimientos. Temas que toca: Las luchas de poder corporativas, la codicia y la ambición en la industria de la aviaciónEmpoderamiento femenino y el liderazgo de la mujer en ámbitos laborales competitivos y masculinizadosTriángulos amorosos, pasiones prohibidas y el dilema entre el éxito profesional y el amorSecretos del pasado, traiciones empresariales y la rivalidad profesional",https://drive.google.com/file/d/1gkcZFLsdAGSzEpknHhbm6OJJO158ej7U/view?usp=share_link,https://www.youtube.com/watch?v=nCcj2kWvLrQ&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=729,https://www.youtube.com/watch?v=tnOWKVMkyqA&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=700,https://www.youtube.com/watch?v=wIyMFE6SSKc&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=690,,,,"Marcia Cerretani, Enrique Sdrech",,
Gasoleros,1998-1999,Canal 13,"Juan Leyrado, Mercedes Morán, Silvia Montanari, Dady Brieva, Pablo Rago, Manuel Callau, Cecilia Milone, Nicolás Cabré","Roxy y Panigassi, dos personas comunes y trabajadoras de barrio, cruzan sus caminos y viven un amor maduro en medio de sus complejas familias. Roxy lidera un hogar sostenido por mujeres fuertes e independientes, mientras todos luchan el día a día con humor, solidaridad y calle. Temas que toca: La cultura del trabajo y el día a día de la clase media/laburanteFamilias ensambladas, mujeres sostenes de hogar y liderazgo femeninoAmor maduro y segundas oportunidadesAmistad, solidaridad entre mujeres y vida de barrio",https://drive.google.com/file/d/1YBubAF_Cp2bD6BoqxKflrbrp0MHIE1OB/view?usp=share_link,https://www.youtube.com/watch?v=dNs_75dTDjg&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=136,https://www.youtube.com/watch?v=XT3kLHUx2kw&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=135,,,,,"Gustavo Barrios (Pol-ka), Ernesto Korovsky",,
Verano del 98,1998-2000,Telefe,"Nancy Dupláa, Fernán Mirás, Agustina Cherri, Marcela Kloosterboer","Un grupo de adolescentes vive las transformaciones propias del paso a la adultez en el pueblo costero de Costa Esperanza, descubriendo el amor, la identidad y las responsabilidades, mientras enfrentan secretos del pasado y la dura realidad del mundo adulto. Temas que toca: Transición de la adolescencia a la madurezPrimeros amores, desamor y sexualidadAmistad incondicional y dinámicas de grupoBúsqueda de identidad, independencia y secretos familiares",https://drive.google.com/file/d/1PH7l7B9BYe9riS7VIxNvKyAo7KizW0gH/view?usp=share_link,https://www.youtube.com/watch?v=ugz2HYOQUAs&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=144,,,,,,"Patricia Maldonado, Claudio Lacelli, Fidel Chiatto, Marili pugno, Amparo Iribas, José Lerfino, Betina Sancha",,
Campeones de la vida,1999-2001,Canal 13,"Soledad Silveyra, Osvaldo Laport","Tito Guevara, un boxeador retirado, y Ciro D'Alessandro, un capataz de basura, luchan junto a sus familias por salir adelante en el día a día del barrio. Entre el ring y la calle, enfrentan crisis económicas, desamores y la constante pelea por mantener la dignidad y los afectos. Temas que toca: Mujeres que sufren, pero a la vez matrimonios realesLa cultura del trabajo, la dignidad y el esfuerzo de la clase obreraEl boxeo como metáfora de la lucha diaria y la superación personalCrisis económicas, adicciones y conflictos familiaresAmistad, lealtad de barrio y solidaridad",https://drive.google.com/file/d/1PGpsv9p0Ed9eIMIeUx5HiM50tM8RiXWU/view?usp=share_link,,https://www.youtube.com/watch?v=ROx-W44anug&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=139,,,,,"Gustavo Barrios (Pol-ka), Diana Segovia",,
Los buscas,2000,Canal 9,"Nancy Dupláa, Pablo Echarri","Martín y Patricia, dos personas criadas como hermanos sin saber que no lo son de sangre, se reencuentran en la adultez y viven una atracción pasional e incontrolable mientras enfrentan la corrupción política, las ambiciones de poder y los secretos de su origen. Temas que toca: Mirada muy cuestionable sobre amor de hermanos Corrupción política, ambición y luchas de poderSecretos de familia e identidad ocultaClases sociales y luchas de barrio frente al poder político",https://drive.google.com/file/d/18o3s2RhPMm76-D4W4ETy6xIel5C3BH0F/view?usp=share_link,https://www.youtube.com/watch?v=vpjJwLFSES4&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=142,,,,,,Marcela Citterio,,
Luna salvaje,2000,Telefe,"Gabriel Corrado, Carina Zampini,Millie Stegman","Gonzalo y María se conocen trágicamente cuando él, devastado por la muerte de su hijo, encuentra en ella a la mujer dispuesta a alquilar su vientre para darle un hijo con su esposa. En medio del dolor, las presiones económicas y las trampas de la alta sociedad, surge entre ambos una pasión irresistible y prohibida.",https://drive.google.com/file/d/1IR3LOmzsZlvDSSOu4TWjjZrEWjZFVKby/view?usp=share_link,https://www.youtube.com/watch?v=1ZeqYYdDdZ4&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=141,,,,,,"Ricardo Rodríguez, Elena Antonieto, Oscar Ibarra",,
Enamorarte,2001,Telefe,"Emanuel Ortega, Celeste Cid","Celeste, una joven de barrio apasionada por la danza, lucha por seguir sus sueños artísticos mientras se enamora de Marcos, un joven de clase alta. Entre las diferencias de mundo y las exigencias familiares, ambos buscan hacerse un lugar en el arte y definir su propio camino. Temas que toca: Todo bien si queres dedicarte al arte y la vocación juvenilValores tradicionales, familia y diferencias de claseMirada interesante sobre Marcia: la mujer grande que se casa por guita y se siente solaPrimeros amores, independencia y superación personal",https://drive.google.com/file/d/1WPdNV-Fj06jHaY9mpaMBGoM1OxJaZxUD/view?usp=share_link,https://www.youtube.com/watch?v=vc6_q_zGgJU&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=146,,,,,,Claudio Lacelli,,
"Yago, pasión morena",2001,Telefe,"Facundo Arana, Gianella Neyra","Yago, un hombre criado en la selva misionera, viaja a Buenos Aires tras descubrir que su verdadera identidad y familia están allí. En la ciudad conoce a Morena, una mujer urbana de clase alta, viviendo un choque de mundos, pasiones ocultas y la búsqueda de la verdad sobre su origen. Temas que toca: Choque entre la naturaleza/vida salvaje y la ambición urbanaSecretos de identidad y disputas por herencias familiaresAmor entre mundos opuestos y superación del prejuicioCodicia, venganza y la búsqueda de la autenticidad",https://drive.google.com/file/d/1sVlW21DZcdrTi1Dq7nGnthX9ki_xOxBr/view?usp=share_link,https://www.youtube.com/watch?v=5huli84fq4w&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=79,https://www.youtube.com/watch?v=A5K69nGyjDk&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=78,https://www.youtube.com/watch?v=hCDRzLmh3xo&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=77,,,,"Ricardo Rodríguez, Oscar Ibarra, Daniel Delbene",,
El sodero de mi vida,2001,Canal 13,"Andrea del Boca, Dady Brieva","Alberto Muzzopappa, un humilde y carismático sodero de barrio que intenta salvar la sodería familiar de las deudas, se ve obligado a vender el negocio a un empresario inmobiliario. La vida de Alberto cambia radicalmente cuando conoce a Sofía, una refinada psicóloga y sexóloga, desatando un romance tan apasionado como accidentado que choca con las diferencias de clase y sus respectivos entornos familiares. Temas que toca: Comedia costumbrista, la identidad de barrio y el orgullo del oficio popular (el sodero como figura entrañable)  Relaciones y romance entre distintas clases sociales (el laburante de barrio frente a la profesional acomodada)  La amenaza de la modernización e especulación inmobiliaria sobre los comercios familiares de barrio  Dinámicas familiares complejas, el rol paterno del protagonista y los enredos afectivos cotidianos",https://drive.google.com/file/d/1pacQgjHVOEg8ltkqBn-KPNyAlwc_C5CA/view?usp=share_link,https://www.youtube.com/watch?v=lhNWr7TZWs4&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=1353,https://www.youtube.com/watch?v=35-WpCzDL1A&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=1346,https://www.youtube.com/watch?v=YC4_Tr9cGCo&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=1338,https://www.youtube.com/watch?v=9VXUk8SQCLc&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=1331&pp=iAQB,,,"Jorge Maestro, Ernesto Korovsky",,
El loco,2001,Canal 13,"Adrián Suar, Leticia Brédice, Nancy DupláaMaría Rosa Gallo, Damián de Santo, Mariano MartínezJulieta Ortega, Horacio Fontova, Oscar Ferreiro, Claribel Medine","Federico ""El 22"" Falcone, un policía apasionado, impulsivo y de métodos poco ortodoxos, integra una brigada especial dedicada a resolver casos de alto riesgo. Su vida personal es tan caótica como su trabajo: mientras arriesga la vida en la calle, se debate emocionalmente entre el amor de Laura, la abogada del equipo, y la atracción irresistible hacia la médica que lo atiende tras sus constantes heridas. Temas que toca: La figura del policía impulsivo, ""loco"" y de métodos poco convencionales pero nobleEl vértigo de las brigadas especiales, la acción policial urbana y el peligro constanteTriángulos amorosos intensos y la dificultad para conciliar la adrenalina laboral con la estabilidad afectivaLa lealtad entre compañeros de armas, la justicia por mano propia y el límite de la ley",https://drive.google.com/file/d/1bjV81smzSq_qTP0HCMXNvUmbKzAjBfbz/view?usp=share_link,https://www.youtube.com/watch?v=5jMYdalTAz4&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=1254,https://www.youtube.com/watch?v=Adz5LgVOJqs&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=1244,,,,,Marcos Carnevale,,
Franco Buenaventura,2002,Telefe,"Osvaldo Laport, Carina Zampini","Franco Buenaventura, un profesor de literatura maduro, vive una relación de pasión obsesiva con Carolina, una de sus alumnas adolescentes. El romance desata una espiral de escándalos, obsesiones cruzadas y dramas familiares que destruyen la tranquilidad del colegio y de sus vidas. Temas que toca: Desastre total y validación/bancando el abuso en relaciones docente-alumnaLa madre como única postura coherente pero retratada de forma idiota por el entornoObsesión, límites éticos y escándalo socialTabúes escolares, manipulación y dinámicas de poder toxicadas",https://drive.google.com/file/d/1tltObtMsr0gYtZ1c0F6N_GgiXAyzsn_z/view?usp=share_link,https://www.youtube.com/watch?v=J_yZ9xETmVg&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=137,,,,,,"Ricardo Rodrigez, Oscar Ibara",,
099 central,2002,Canal 13,"Facundo Arana, Nacy Dupláa, Paola Krum, Raúl Taibo, Juan Darthés, Julieta Díaz, Luis Luque, Carolina Peleritti, Emilio Disi","Tomas Ledesma, un intrépido e impulsivo oficial al mando de la Brigada 099, una unidad de élite policial integrada por agentes exonerados o desplazados de sus comisarías. En un entorno cargado de adrenalina y peligro, Tomás intenta sostener la disciplina de su equipo mientras se debate entre dos amores: Laura, una firme y ética médica policial, y la atractiva e impredecible policía ""Pato"". Temas que toca: El heroísmo y la redención dentro de una brigada policial de ""marginados""Triángulos amorosos de alta tensión y la pasión en situaciones de extremo peligroLa lealtad entre compañeros de armas y el compañerismo de la fuerzaAcción urbana, rescates de alto riesgo y la justicia frente al crimen organizado",https://drive.google.com/file/d/1HzXAyYIX4DhKpOFpzn-ZUV2W37JGqfbB/view?usp=sharing,https://www.youtube.com/watch?v=JT-coPY9odk&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=1227,https://www.youtube.com/watch?v=QUJSRzImLNI&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=1224,https://www.youtube.com/watch?v=vKAvQykyyxM&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=1216,https://www.youtube.com/watch?v=m1KmimwWbas&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=1200,,,"Leonardo Bechini, Marcos Carnevale",,
